"V1","V2","V3","V4"
0.758024691358025,0.668386243386243,0.47822806260302,0.668915857804747
0.785802469135802,0.658201058201058,0.458715195390684,0.684282384282384
0.809876543209877,0.695238095238095,0.422803215252432,0.713561541339319
0.851851851851852,0.694312169312169,0.368524092278172,0.744929967152189
0.829012345679012,0.673015873015873,0.420662556911268,0.711786567342123
0.864197530864197,0.707275132275132,0.379986132445222,0.744866655977767
0.82962962962963,0.68042328042328,0.407119740002907,0.721061140505585
0.85,0.707275132275132,0.38069295956774,0.743223443223443
0.858641975308642,0.734744268077601,0.352738332745094,0.761861184083406
0.855555555555556,0.694620811287478,0.387066824645288,0.732144090477424
0.903703703703704,0.750793650793651,0.30796787268951,0.795450023227801
0.929012345679012,0.746781305114638,0.29917829913984,0.801475890364779
0.870987654320988,0.736596119929453,0.339100065743218,0.773032728588284
0.860493827160494,0.737522045855379,0.337762556777602,0.773639323639324
0.885185185185185,0.781040564373898,0.296611139321047,0.806336667447779
0.89320987654321,0.752645502645503,0.315210514264409,0.791018857685524
0.896296296296296,0.772398589065256,0.303836836649529,0.80151864596309
0.851851851851852,0.758818342151676,0.344691963584604,0.768888107776997
0.898765432098765,0.752645502645503,0.304613828409572,0.796430729764063
0.928395061728395,0.740299823633157,0.306951092828337,0.789405450516562
0.904320987654321,0.772398589065256,0.297678337159688,0.805045982823761
0.831481481481481,0.752645502645503,0.352453618082398,0.759030270141381
0.885802469135803,0.752954144620811,0.322251544635423,0.785290840846396
0.828395061728395,0.722089947089947,0.405131349682173,0.724356713245602
0.828395061728395,0.746781305114638,0.372112588100363,0.745715190159635
0.827777777777778,0.726719576719577,0.374144310434337,0.745182800738356
0.896913580246914,0.757583774250441,0.315336921003941,0.790484412706635
0.866049382716049,0.735670194003527,0.335909023776631,0.771457349235127
0.85,0.772398589065256,0.344260992450055,0.770089992312215
0.895679012345679,0.729497354497355,0.340776926293799,0.771659821659822
0.865432098765432,0.732583774250441,0.3263901501772,0.779003301225523
0.90679012345679,0.758509700176367,0.288550668572395,0.805017410572966
0.803086419753086,0.725485008818342,0.380874550839305,0.74044289044289
0.865432098765432,0.719312169312169,0.365983598438568,0.754286454286454
0.86358024691358,0.714373897707231,0.355877100082021,0.760324243657577
0.833333333333333,0.749867724867725,0.343075896862292,0.766444460888905
0.795061728395062,0.720546737213404,0.402722313922444,0.72707909374576
0.835802469135802,0.731657848324515,0.360818160291644,0.754827477049699
0.818518518518519,0.743694885361552,0.371529212454449,0.745552389996834
0.820987654320988,0.713139329805996,0.379123424523828,0.740945474278808
0.839506172839506,0.741225749559083,0.364292452697704,0.747639397639398
0.862962962962963,0.746781305114638,0.321469882555559,0.780360483138261
0.794444444444444,0.711904761904762,0.439580153753923,0.698327392771837
0.861728395061728,0.740299823633157,0.347942191567077,0.770394625950181
0.906172839506173,0.735361552028219,0.32304220601509,0.783427683427683
0.848765432098765,0.734126984126984,0.357308937882793,0.757608646497535
0.882716049382716,0.753880070546737,0.315591343672694,0.790482357149024
0.845061728395062,0.724559082892416,0.356981231920148,0.752953527953528
0.825308641975309,0.721781305114638,0.404348165753716,0.728144078144078
0.833950617283951,0.706966490299824,0.389015212170677,0.73434631212409
0.870987654320988,0.748015873015873,0.328917950309658,0.7774747885859
0.859259259259259,0.750793650793651,0.351784368894681,0.765659443437221
0.892592592592593,0.760361552028219,0.309366278097263,0.792687559354226
0.887037037037037,0.737830687830688,0.337127892696397,0.773029439696106
0.841975308641975,0.722089947089947,0.376390107409243,0.745284961951629
0.815432098765432,0.717460317460317,0.392782697356793,0.727725772170217
0.889506172839506,0.768386243386243,0.301892722362528,0.800580078357856
0.841975308641975,0.768077601410935,0.344745254866247,0.767073667073667
0.841975308641975,0.770238095238095,0.338934316690961,0.772493555826889
0.848148148148148,0.737830687830688,0.363928947761753,0.751865418532085
0.853086419753086,0.765608465608466,0.32203203575365,0.782616560394338
