"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
0,1,1,1,1,0,0,0,0,0,0,0,0,-0.14,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,-0.51,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,0,0,NA,NA,NA,NA
0,0,0,1,0,0,0,0,0,0,0,0,0,-1.1,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,2,0,-0.21,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,-0.36,NA,NA,NA
0,0,1,1,1,0,0,0,1,0,0,2,0,0.5,NA,NA,1.16
0,1,1,1,1,0,0,0,1,1,0,2,2,0.72,NA,NA,1.25
0,1,1,1,1,0,0,0,1,1,0,2,0,-0.26,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,0,0,-0.59,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,1,1,2,-0.13,0.03,0.11,0.52
0,1,1,1,1,0,1,0,0,1,0,0,0,0.45,NA,NA,NA
0,0,1,1,1,0,0,0,1,1,0,0,0,NA,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,1,0,-0.69,NA,NA,NA
0,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,1,2,-0.45,NA,NA,0.3
0,1,1,1,1,0,0,0,0,0,0,1,2,-0.11,NA,NA,0.37
0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,1,1,1,1,1,0,0,1,0,0,1,2,-0.11,NA,0.6,0.67
0,1,1,1,1,0,0,0,1,0,0,1,0,-0.38,NA,NA,NA
0,1,1,1,1,0,0,0,0,1,0,0,0,-0.2,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,1,0,-0.58,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,1,2,0.07,0.08,0.2,0.49
0,1,1,1,1,1,0,0,1,0,1,1,0,-0.01,NA,0.49,NA
0,1,1,1,1,1,0,0,1,0,1,1,0,-0.1,NA,NA,0.51
0,1,1,1,1,0,0,0,1,1,1,1,0,-1.03,NA,NA,NA
0,0,1,1,1,0,0,0,0,1,0,1,0,-0.54,NA,NA,-0.01
0,1,1,1,1,0,0,0,0,0,0,0,0,-0.28,NA,NA,NA
0,1,1,1,1,0,0,0,0,1,0,0,0,-0.1,NA,NA,NA
0,1,1,1,1,0,1,0,1,0,0,0,0,0.09,NA,NA,NA
0,1,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,2,0,0.24,NA,NA,0.94
0,1,1,1,1,0,0,0,1,1,0,0,0,0.88,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,1,0,-1.21,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,0,0,NA,NA,NA,NA
0,1,0,1,1,0,0,0,1,0,0,0,0,NA,NA,2.05,NA
0,1,1,1,1,0,0,0,0,0,0,0,0,-0.13,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,-0.34,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,2,0,-1.06,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,-0.46,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,2,0,0.63,NA,0.86,1.08
0,1,1,1,1,0,0,0,1,1,0,0,0,-0.16,NA,NA,NA
0,0,1,1,1,0,0,0,0,0,0,2,0,0.52,NA,NA,0.87
0,1,1,1,1,0,0,0,1,0,0,1,0,-0.16,NA,NA,NA
